X,Y,top,sd_x,sd_y,pas_nr,DATETIME,sd_xy,X_filtered,Y_filtered,filtered_error,X_smoothed,Y_smoothed,smoothed_error
254.28812170840197,126.014298421938,8074901.62168327,10.724733078722,6.15801025186645,1610,2016-05-11 04:37:04.754274,12.366931303760289,253.57407277030345,125.69354729454342,9.145329654524451,254.45091492847004,126.9385546944961,7.1749236666551015
257.955964213941,128.98158917185498,8074976.3669485,11.9957021913049,4.580297837202719,1610,2016-05-11 04:38:19.499873,12.840404952335463,257.0977169289606,128.14345836666226,11.186554555983635,257.95699845595084,129.67839631043603,7.677609495029889
259.627045350079,134.941751053795,8075013.47266261,11.6736908657617,4.31577149299475,1610,2016-05-11 04:38:56.607332,12.44592069752633,259.0573905760737,132.7222912488066,9.942517762170782,259.4975957253225,130.20686850517225,6.9018008641378525
261.473670448971,129.30411173099898,8075049.74453142,10.697971259526199,3.13964621221977,1610,2016-05-11 04:39:32.881115,11.149168911069314,260.9757743301359,131.04776982236834,9.050398883794998,260.4658332709443,129.23940834738738,6.3569534798545755
261.053390130294,126.81187525493,8075084.51458549,10.4184312498392,4.15846098106684,1610,2016-05-11 04:40:07.649479,11.217687258908647,261.38704881024825,128.38903378938207,8.857452229632385,260.7067632325141,127.9104477153914,5.9519623790182035
260.335591352627,125.226503244802,8075116.30306213,9.47344806325351,2.98077059596573,1610,2016-05-11 04:40:39.429977,9.931324763239575,260.84020408376966,125.98503411871751,8.06260648069101,260.5470176740345,127.41743956971139,5.551502832108157
259.971737225581,127.130046558363,8075142.47998891,9.28911711707816,5.62976580607454,1610,2016-05-11 04:41:05.607426,10.86195009406877,260.34818426054795,126.1510386520805,8.033382034010131,260.38925963944985,127.86566617633133,5.255453288303572
259.539242948253,129.396035497985,8075173.63386406,8.01222817785518,2.81506530887153,1610,2016-05-11 04:41:36.762165,8.492372640624556,259.7170374968291,128.30090220713524,7.115378003073819,260.35933499627373,128.91528372074157,4.707175447804085
259.311824859992,130.428500324904,8075199.43596722,6.79910133485612,2.48319492366538,1610,2016-05-11 04:42:02.532218,7.238372468349483,259.35444978842355,129.95239973771075,6.026893225720237,260.43876466516764,129.55805754839804,4.225322660102415
261.961367449331,129.890964929346,8075228.76618981,6.188793176568391,2.23054353194648,1610,2016-05-11 04:42:31.895358,6.578486560771235,261.1510499633479,130.17178869874695,5.57445041991932,260.05852030909034,129.58468830492123,3.7794921154671397
259.124427337623,128.762653781334,8075250.440000701,6.003668895350111,2.40497329858264,1610,2016-05-11 04:42:53.567817,6.467452108202262,260.049505257423,129.36623439039937,5.1845728444595345,258.75377169633117,129.18786889036028,3.5318758076530754
256.31192627730803,129.003783990858,8075272.74169469,5.61415857749188,1.92523923936546,1610,2016-05-11 04:43:15.834892,5.935092472912124,257.4713282625578,129.05527309578696,4.864059253877962,256.50192045311053,128.57934481880991,3.4107718214622897
253.630834706823,128.223059320427,8075295.88689046,5.52725994721475,1.89547750278708,1610,2016-05-11 04:43:38.978621,5.8432386129317315,254.5058983259135,128.42774539260785,4.778766190465668,253.48325384047743,127.80488369555042,3.451862474652896
249.50281943064098,125.013191992074,8075321.10286262,5.7781036243978,1.9857959172520603,1610,2016-05-11 04:44:04.208575,6.109817257435278,250.5550881619261,126.03047180842944,4.981476817120139,249.68492327708807,127.13182054049972,3.8187397543085955
244.879104243406,129.10382862646298,8075350.2916595,6.71272028375368,2.7945242692649197,1610,2016-05-11 04:44:33.380052,7.271174561199087,245.9574359384191,127.45609747627844,5.783508090976556,245.03286638905334,127.01856248778778,5.024514064623119
228.81302815966302,126.04575293922501,8075459.56306181,6.05248997573886,2.15963996966418,1610,2016-05-11 04:46:22.640615,6.426249271930749,229.33635155109593,126.17530015710247,6.247557458807753,229.123298574528,126.96924641046708,5.557274240157063
223.590020390667,130.32331500592,8075525.08378674,6.946310904713299,5.933169973532389,1610,2016-05-11 04:47:28.196784,9.135301917274832,223.75101939875347,129.2991000423948,8.08608074766162,223.2102380336873,130.54481197713608,4.56896013183964
221.658492344898,131.897977977108,8075549.27332797,4.6412746379068395,2.1924177076590703,1610,2016-05-11 04:47:52.349738,5.133042535313176,221.794885754175,131.60001664290718,4.680939081194396,221.8747966145931,131.8399195394301,3.559277915994299
220.58566234012298,133.09060840651,8075576.19148545,4.44288009613399,1.92985494189705,1610,2016-05-11 04:48:19.267955,4.843916147642116,220.55716587223318,133.02315566648713,4.211307588689652,221.05028731289295,132.5736707948598,3.323337279013844
