,DATETIME,X,Y,HPE,X_outl,Y_outl,X_filtered,Y_filtered,filtered_error,URX,pas_nr
1892,2016-05-26 19:48:12,185.85425047390163,141.12516841851175,6.5,,,,,,S12 S13 S14 S18-2 S8 S9,1883.0
1893,2016-05-26 19:48:42,186.3347614328377,141.4728004625067,6.3,186.3347614328377,141.4728004625067,186.92520049571374,141.9689106598621,5.8245055193738065,S10 S13 S14 S18-2 S8 S9,1883.0
1894,2016-05-26 19:49:04,186.2996651835274,142.6958876857534,7.0,186.2996651835274,142.6958876857534,186.3881573391917,142.1879221071421,5.443242453462146,S12 S14 S16 S18-2 S8 S9,1883.0
1895,2016-05-26 19:49:27,182.3442673184909,138.9101070566103,6.2,182.3442673184909,138.9101070566103,183.54045184431394,139.93055571817447,5.086652909562277,S13 S14 S16 S18-2 S8 S9,1883.0
1896,2016-05-26 19:49:51,185.58696544205304,140.67237356305122,6.7,,,,,,S12 S14 S16 S17 S18-2 S8,1883.0
1897,2016-05-26 19:50:18,182.48429099470377,138.9141248986125,6.2,,,,,,S13 S14 S16 S18-2 S8 S9,1883.0
1898,2016-05-26 19:50:51,187.922698710463,142.2973353676498,6.6,,,,,,S13 S14 S16 S18-2 S8 S9,1883.0
1899,2016-05-26 19:51:19,186.4143449451076,141.1412401953712,6.3,,,,,,S10 S13 S14 S18-2 S8 S9,1883.0
1900,2016-05-26 19:51:54,186.82484406302683,141.4868633095175,6.2,186.82484406302683,141.4868633095175,186.55699519998257,141.3155220823376,6.097356249592984,S12 S13 S14 S16 S8 S9,1883.0
1901,2016-05-26 19:52:26,185.77484737616032,139.0085452813655,6.3,,,,,,S10 S13 S14 S16 S8 S9,1883.0
1902,2016-05-26 19:52:53,186.24241566297133,142.24911972135305,7.5,186.24241566297133,142.24911972135305,186.54552052911208,142.22737214121952,6.79473244299393,S10 S12 S13 S16 S18-2 S8,1883.0
1903,2016-05-26 19:53:25,187.42942556319758,142.39446216169745,6.8,,,,,,S12 S14 S16 S17 S18-2 S8,1883.0
1904,2016-05-26 19:53:52,185.3322623432614,142.22300314251333,6.2,,,,,,S12 S13 S14 S16 S18-2 S8,1883.0
1905,2016-05-26 19:54:53,186.9489147636341,142.04683001246303,6.5,186.9489147636341,142.04683001246303,186.92431910518758,142.09162186896927,6.344853738511823,S13 S14 S16 S18-2 S8 S9,1883.0
1906,2016-05-26 19:55:27,187.7126633299049,142.29130838252604,6.6,187.7126633299049,142.29130838252604,187.52612109788888,142.21617278106922,5.660925729623076,S13 S14 S16 S18-2 S8 S9,1883.0
1907,2016-05-26 19:56:20,185.1032638172619,140.43593133892864,6.2,185.1032638172619,140.43593133892864,185.52117224790547,140.70418970320495,5.731449470486077,S10 S13 S14 S18-2 S8 S9,1883.0
1908,2016-05-26 19:56:44,184.14862251398154,139.5182880377397,6.1,184.14862251398154,139.5182880377397,184.39867515692052,139.7544694744611,5.035507055351797,S10 S13 S14 S18-2 S8 S9,1883.0
1909,2016-05-26 19:57:10,186.63714266638272,140.70250813756138,6.4,186.63714266638272,140.70250813756138,185.6365563698445,140.1824803803044,5.208123971989886,S10 S13 S14 S18-2 S8 S9,1883.0
1910,2016-05-26 19:57:41,190.33482360455673,143.70192779786885,6.8,190.33482360455673,143.70192779786885,189.0161715579823,142.6241923062488,5.6509447179987875,S13 S14 S16 S18-2 S8 S9,1883.0
1911,2016-05-26 19:58:06,130.23585868568625,145.42742137424648,5.9,,,,,,S12 S14 S16 S17 S18-2 S8,1883.0
1912,2016-05-26 19:58:32,191.18453692819458,143.3924669837579,6.5,191.18453692819458,143.3924669837579,191.26769500447756,143.57146428214375,5.9267947486220995,S12 S13 S14 S16 S8 S9,1883.0
1913,2016-05-26 19:59:30,191.69038948626257,145.29876503907144,6.7,191.69038948626257,145.29876503907144,191.85067286778852,145.13092623649106,6.1622195631168335,S12 S13 S14 S16 S18-2 S8,1883.0
1914,2016-05-26 20:00:01,189.00459987670183,143.66375640314072,6.9,189.00459987670183,143.66375640314072,189.90841252340925,144.25999212461426,5.778732232623109,S13 S14 S16 S18-2 S8 S9,1883.0
1915,2016-05-26 20:00:24,184.80726387328468,140.98384425323457,6.4,,,,,,S12 S13 S14 S18-2 S8 S9,1883.0
1916,2016-05-26 20:00:49,187.77948452357668,142.40450712293386,6.7,187.77948452357668,142.40450712293386,187.95377101631414,142.68300371593028,6.040259571367158,S13 S14 S16 S18-2 S8 S9,1883.0
1917,2016-05-26 20:01:18,189.0969460553024,142.88743718340993,6.8,,,,,,S13 S14 S16 S18-2 S8 S9,1883.0
1918,2016-05-26 20:01:53,186.52884398330934,142.03477612882853,6.6,186.52884398330934,142.03477612882853,186.5308897680678,141.976639187151,6.1577296026987245,S13 S14 S16 S18-2 S8 S9,1883.0
1919,2016-05-26 20:02:25,188.5148808750091,138.75332646537572,6.6,188.5148808750091,138.75332646537572,187.84889860281817,139.58975668171973,5.613692565674298,S12 S13 S14 S18-2 S8 S9,1883.0
